"names","values"
"itemid","37"
"event","christmas was great!!! brent got me a promise ring and earrings, and other stuff!! he went with me to my families dinner and i went with him!! it was a lot of fun!! his mom got me a really cute sweater and his aunt got me this shirt i have been wanting and his grandma made me a towel with my name on it!! its really cute!! i had the best christmas ever!! my new years on the other head sucked!! i didn do anything!! me and brent went and seen spangish!! it was a pretty good movie the ending wasn't that great!!"
"eventtime","2005-01-07 12:44:00"
"current_moodid","10"
"url","http://ash-o-ley.livejournal.com/9661.html"
"userid","1030"
"itemid","36"
"event","<P>i can't believe that its already <FONT color=#ff0000 size=4><STRONG>christmas</STRONG></FONT>!! i'm so excited!! tomorrow is gonna be so great i get to spend it with my baby!! the love of my life!! its goin to be the best <FONT color=#ff0000 size=4><STRONG>christmas</STRONG></FONT> ever!! tonight me and <FONT color=#cc33cc><STRONG>brandi</STRONG></FONT> went to <FONT color=#33cc00><STRONG>schultz's</STRONG></FONT> house to give him, <FONT color=#3366ff><STRONG>issac</STRONG></FONT> and <FONT color=#ff6600><STRONG>robin</STRONG></FONT> their <FONT color=#ff0000 size=4><STRONG>christmas</STRONG></FONT> presents!! it was fun!! i love them so much they are my family idk whati would do without them!! today was hell i did the last minute <FONT color=#ff0000 size=4><STRONG>christmas</STRONG></FONT> shopping!! i got so much stuff!! i can't wait to give <FONT color=#000099><STRONG>brent</STRONG></FONT> all his stuff!! i get to see him first thing in the morning!! its gonna be so hard goin to sleep tonight not havin him here beside me. he has been over the last 3 nights!! well imma try and go to sleep, i can't wait to wake up in the morning!!</P>
<P><FONT color=#cc33cc size=5><EM>&nbsp;i love brent dwayne shore!!! </EM></FONT></P>
<P><FONT color=#ff0000><FONT size=4><STRONG>MERRY CHRISTMAS</STRONG></FONT> </FONT></P>"
"eventtime","2004-12-24 22:19:00"
"current_moodid","4"
"url","http://ash-o-ley.livejournal.com/9439.html"
"userid","1030"
"itemid","35"
"event","i thought while i had a minute i would update!! i'm fixin to go to brents family christmas dinner!! then we have to be at work at 10 till 4 this morning! we have been doin it the pass 2 days it sucks big time!! tomorrow me and brent are goin to my dads for christmas dinner then idk what we are doin!! we have a busy day on christmas, my dads, then grandmas, then his aunts!! its goin to be fun though!! i love his family they are great!! my mom gave me one of my christmas presents early. i got wireless keyboard and mouse!! OH YEA my sister is in town for christmas i'm excited i get to see her!! well i have to go brents here!!"
"eventtime","2004-12-23 17:03:00"
"url","http://ash-o-ley.livejournal.com/9156.html"
"userid","1030"
"itemid","34"
