"names","values"
"itemid","3"
"event","im so fucking bored my sisters in the hospital and shes really really sick with some fucked up virus so im going to look it up on the internet"
"eventtime","2005-02-20 13:53:00"
"url","http://devonrey.livejournal.com/917.html"
"userid","3841"
"itemid","2"
"event","if guns dont kill people do knives and if knives dont then what does

i wonder what is the meening of life or is there a meening to life"
"eventtime","2005-02-19 12:17:00"
"current_moodid","6"
"url","http://devonrey.livejournal.com/532.html"
"userid","3841"
"itemid","1"
"event","hello im so bored and i want to kill somebdy"
"eventtime","2005-02-19 12:13:00"
"current_moodid","96"
"url","http://devonrey.livejournal.com/314.html"
"userid","3841"
