"names","values"
"itemid","72"
"event","I can't take this shit anymore....everytime you leave you leave me wondering why i stay w/you.....It's time to forget you and move on cuz this hurts way to fucking much"
"eventtime","2005-09-11 22:25:00"
"url","http://d-u-h-d-u-h.livejournal.com/18531.html"
"userid","3429"
"itemid","70"
"event","<TABLE id=HB_Mail_Container height=""100%"" cellSpacing=0 cellPadding=0 width=""100%"" border=0 UNSELECTABLE=""on"">
<TBODY>
<TR height=""100%"" UNSELECTABLE=""on"" width=""100%"">
<TD id=HB_Focus_Element vAlign=top width=""100%"" background="""" height=250 UNSELECTABLE=""off"">
<P><BR><FONT color=#33ccff>Yeah so yesterday was so much fun!!!...&nbsp;</FONT></P>
<P><FONT color=#33ccff>-went w/laura 4 her senior pics and najada laura nad me all got pictures together! </FONT></P>
<P><FONT color=#33ccff>-went home spent some time w/the family cuz it was my birthday but then i left</FONT></P>
<P><FONT color=#33ccff>-They took me out to dinner at mongolian(sp) bbq it was good <BR>-Then went to meijers got camera n red bull n car paint(ended up on us more than the car)and najada got some freaky ass toy lol<BR>-Went to lauras got presents n cake it was yummi<BR>-Then baker and shane stopped by we drank alot i was REAL f'd up but it was awesome <BR>-Thank You guys SOO much ily !!!!<BR>Sucked i hada get up and babysit this morning and i have to work all day =( but after i get to see andrew n get more presents =D yay for birthdays<BR>Pictures later maybe...they should be interesting cuz we used the whole camera and i dont remember ever taking ne lol</FONT></P>
<P><FONT color=#ff9900>im gonna miss summer i cant believe its already over but this year is going to be awesome tho!</FONT></P>
<P><STRONG><FONT color=#ff99ff size=5>THANK YOU LAURA AND NAJADA!!! </FONT></STRONG></P></TD></TR>
<TR UNSELECTABLE=""on"" hb_tag=""1"">
<TD style=""FONT-SIZE: 1pt"" height=1 UNSELECTABLE=""on"">
<DIV id=hotbar_promo></DIV></TD></TR></TBODY></TABLE>"
"eventtime","2005-08-27 09:41:00"
"url","http://d-u-h-d-u-h.livejournal.com/18154.html"
"userid","3429"
"itemid","69"
"event","WOOOOOOO HOOOOOOOOOOOOO my bcya ovea ot was the shitt"
"eventtime","2005-08-27 01:16:00"
"url","http://d-u-h-d-u-h.livejournal.com/17864.html"
"userid","3429"
"itemid","68"
"event","So today...
-I got my senior pics done =D glad its over pick them up next Wed...
-Got my belly button peirced"
"eventtime","2005-08-23 22:40:00"
"url","http://d-u-h-d-u-h.livejournal.com/17579.html"
"userid","3429"
"itemid","67"
"event","It's over...."
"eventtime","2005-08-21 22:59:00"
"url","http://d-u-h-d-u-h.livejournal.com/17260.html"
"userid","3429"
"itemid","66"
"event","So i was looking at some old entries and pictures and its weird how ppl you were bf's w/you dont even talk to nemore its kinda sad especially when u have known them ur whole life and pretty much grew up with them...but i dunno"
"eventtime","2005-07-23 22:46:00"
"url","http://d-u-h-d-u-h.livejournal.com/16941.html"
"userid","3429"
"itemid","65"
"event","<P><FONT color=#ff99ff><STRONG><U>Wed-</U></STRONG></FONT> <FONT color=#33ccff>Hung out with Andrew all day</FONT><BR><FONT color=#33ccff>-Mall<BR>-Coney&lt;3<BR>-Moby dicks he got 2 cute fishies there so mean <BR>-Went to his house<BR>-My house &lt;3 him</FONT></P>
<P><FONT color=#ff99ff><STRONG><U>Thurs-</U></STRONG></FONT><BR><FONT color=#33ccff>-Went to the beach w/ Laura &lt;3 then got subway!<BR>-Lynard Conecert!! w/ Laura and Andrew//Kyle and Larry n some other people were there it was fun!!</FONT></P>
<P><U><STRONG><FONT color=#ff99ff>Friday- </FONT><BR></STRONG></U><FONT color=#33ccff>-Went to Lunch with Andrew &lt;3<BR>-Got Paid $$<BR>-Andrew came over after work <BR>-Seen Charlie and the Chocolate factory<BR>-Bought some drumstick ice cream<BR>-Then came to my house and hung out</FONT></P>
<P><FONT color=#ff99ff>Work today and now I'm babysitting.....</FONT></P>"
"eventtime","2005-07-23 21:31:00"
"current_moodid","5"
"url","http://d-u-h-d-u-h.livejournal.com/16828.html"
"userid","3429"
"itemid","64"
"event","<TABLE id=HB_Mail_Container height=""100%"" cellSpacing=0 cellPadding=0 width=""100%"" border=0 UNSELECTABLE=""on"">
<TBODY>
<TR height=""100%"" UNSELECTABLE=""on"" width=""100%"">
<TD id=HB_Focus_Element vAlign=top width=""100%"" background="""" height=250 UNSELECTABLE=""off"">
<P><FONT color=#33ccff size=2>Im babysitting right now....3 kids...kinda bored....alotta <FONT color=#33ff33>$$$ </FONT>tho gotta love&nbsp;that.....50$ in 5hrs definetly worth it!!</FONT></P>
<P><FONT color=#cc66cc size=2>No work till Saturday</FONT></P>
<P><FONT color=#ffccff size=2>But then after that i have to work everyday but next friday then i leave to MIPA Sunday</FONT></P>
<P><FONT color=#ffccff size=2>(I dont really&nbsp;wanna go) but o well.....</FONT></P>
<P><FONT size=2><FONT color=#ffcc33>After&nbsp;I leave here im gonna go have lunch with</FONT> <FONT color=#ffcc33>Andrew</FONT> </FONT></P>
<P><FONT color=#99ff99 size=2>Then go get my ring sized n shit and a battery for my watch cuz its been dead forever! </FONT></P>
<P><FONT size=2><FONT color=#ccccff>Then just hanging out with him again after he gets outta work!</FONT><FONT color=#ff99ff>&lt;3</FONT></FONT></P>
<P><FONT color=#ff99ff size=2>**Im way glad hes home!!** </FONT></P>
<P><FONT color=#33ccff size=2>Pointless entry but&nbsp;I was&nbsp;bored....</FONT></P></TD></TR>
<TR UNSELECTABLE=""on"" hb_tag=""1"">
<TD style=""FONT-SIZE: 1pt"" height=1 UNSELECTABLE=""on"">
<DIV id=hotbar_promo></DIV></TD></TR></TBODY></TABLE>"
"eventtime","2005-07-19 09:13:00"
"current_moodid","31"
"url","http://d-u-h-d-u-h.livejournal.com/16495.html"
"userid","3429"
"itemid","63"
"event","<center>My bf finally came back =D hung out with him tonite im so glad hes home n guess what he bought me?!?  A RING! <3 i love presents its pretty i gotta go get it sized but thats okay!...he bought my whole family presents cuz hes nice like that!! 
I LOVE YOU!"
"eventtime","2005-07-18 22:40:00"
"current_moodid","15"
"url","http://d-u-h-d-u-h.livejournal.com/16215.html"
"userid","3429"
"itemid","62"
