"names","values"
"itemid","71"
"event","<P><FONT color=#ffffff>Today is March 23, Wednesday..Well Sunday March 20th was my 18th B-day And it was okay cause i was with my family but Drake was suppose to spend time with me but alot of shit happened and i dunno anymore see when he wanted to be with me i didnt want to be with him Just for the fact of what he is doing now ... He is being really mean to me and all that i love him but my goodness when some cares about you and all dont push then away..But Any ways a couple of weeks ago i find out i was PREGNANT in 9 weeks Now! Crazy huh well anyways its Rodericks and he really i dunno well im relly confused Im just going to worry about my baby and if he just wants to be a Ass im just going to let him...... Well Today i havent dont much my mom went to Houston ::Tear:: i miss her i wanted to go but i have a Dr appt. Thursday so i couldnt well she wont be back until sunday mayber!~ my grandpa is in the hospt. but i pray that he is doing better~!!! well we MIGHT be moving Again&nbsp; but this time we will leave there for a very long time we r moving on her land we are putting a house on there =))))&nbsp; hopefully~!!!!! well im going to get offf here ill might right later if i have time toodles</FONT></P>"
"eventtime","2005-03-23 00:52:00"
"current_moodid","97"
"url","http://apryljones.livejournal.com/18353.html"
"userid","921"
"itemid","70"
"event","<FONT color=#ffffff size=6>Ill Be 18 in a Month!!!!!!!!</FONT>"
"eventtime","2005-02-20 20:18:00"
"url","http://apryljones.livejournal.com/17950.html"
"userid","921"
"itemid","69"
"event","<P><FONT color=#ffffff>All week i didnt do shit i was sick with the flu thursday and Friday Ashton Stayed we waited on Sabrina to get back then we went to STATELINE then to Juan and he is hot!!!!!!!! anyways we stay there for a lil went to this guys house i forgot his name then we went home. Then Saturday Morning was Crazy alot of stuff happened i aint getting into that then me n Ashton went to Johnny Crinos i guess thats how you spell it i dunno well anyways greg works there and when we was leaving DRAKE&nbsp; showed up omg i was mad cause i know Greg did that on purpose... then we went home then Bobby came picked us up went riding around seen Chris And Tj then went back home went down the street with greg &amp; bobby&nbsp; then brenda callled my cell and wanted me to stay down there so i did and brenda n Holly ( My Girl Friend ) showed up stay out there for a lil then went home and wen to bed! well thats it........ </FONT></P>
<P><FONT color=#ffffff><FONT size=5>I Lo<FONT size=4>ve </FONT>Y<FONT size=3>ou</FONT> H<FONT size=4>oll</FONT>y =)</FONT> !!!</FONT></P>"
"eventtime","2005-02-20 19:39:00"
"current_moodid","83"
"url","http://apryljones.livejournal.com/17718.html"
"userid","921"
"itemid","68"
